index,capital city,temperature [°C],pressure [hPa],humidity [%],visibility,wind speed [m/s],clouds [%],rain in last hour [mm],snow in last hour [mm]
1,capital,25,1013,72,10000,1.54,18,0,0
2,Sukhumi,13,1021,74,10000,2.38,75,0,0
3,Kabul,18,1012,17,10000,3.14,45,0,0
4,Tirana,21,1022,64,10000,4.12,0,0,0
5,Algiers,32,1018,22,10000,4.12,0,0,0
6,Pago Pago,26,1009,89,10000,2.57,75,0.22,0
7,Andorra la Vella,17,1021,32,10000,1.79,0,0,0
8,Luanda,28,1010,67,10000,3.4,78,0,0
9,The Valley,28,1017,83,10000,4.12,40,0,0
10,St. John's,0,1009,96,6437,5.66,100,0,27.69
11,Buenos Aires,19,1017,71,10000,10.28,0,0,0
12,Yerevan,19,1013,32,10000,4.63,40,0,0
13,Oranjestad,27,1013,83,10000,9.26,20,0,0
14,Georgetown,31,1005,66,10000,1.54,20,0,0
15,Canberra,14,1016,94,10000,0.51,75,0,0
16,Vienna,25,1018,41,10000,1.54,0,0,0
17,Baku,16,1019,51,10000,6.17,0,0,0
18,Nassau,5,1007,72,10000,3.6,100,0,0
19,Manama,30,1010,23,10000,4.63,0,0,0
20,Dhaka,32,1004,52,4000,4.12,40,0,0
21,Bridgetown,28,1016,83,10000,6.17,40,0,0
22,Minsk,9,1012,95,10000,3.48,100,0,0
23,Brussels,23,1008,46,10000,7.2,0,0,0
24,Belmopan,20,1016,96,10000,1.03,95,0.12,0
25,Porto-Novo,33,1011,56,10000,4.64,100,0,0
26,Hamilton,0,1022,92,402,0.89,100,0,0
27,Thimphu,10,1012,81,7472,1.92,100,0,0
28,Sucre,13,1017,87,10000,3.07,98,0,0
29,La Paz,10,1039,85,10000,0.45,71,1,0
30,Sarajevo,22,1021,33,10000,1.54,0,0,0
31,Gaborone,29,1012,38,10000,2.7,15,0,0
32,Brasília,23,1020,78,10000,3.6,40,0,0
33,Road Town,27,1017,89,10000,0,40,0,0
34,Bandar Seri Begawan,25,1010,100,6000,2.68,75,10.6,0
35,Sofia,22,1020,27,10000,1.54,40,0,0
36,Ouagadougou,38,1009,28,10000,3.6,43,0,0
37,Bujumbura,26,1010,76,10000,2.37,100,0.65,0
38,Phnom Penh,33,1005,55,9000,4.63,20,0,0
39,Yaoundé,29,1011,52,10000,1.18,95,0,0
40,Ottawa,4,1012,74,10000,1.34,74,0,0
41,Praia,27,1015,47,10000,7.2,40,0,0
42,George Town,31,1005,66,10000,1.54,20,0,0
